"L3_AF_DMSO_B_10_FITC","L3_AF_100_ETP_11_FITC","L3_AF_100_ETP_12_FITC","L3_AF_Med_C_13_FITC","L3_AF_Med_C_14_FITC","L3_AF_DMSo_C_15_FITC","L3_AF_DMSO_C_16_FITC","L3_AF_100_ETP_17_FITC","L3_AF_100_ETP_18_FITC","L3_AF_Med_D_19_FITC","L3_AF_Med_A_1_FITC","L3_AF_Med_D_20_FITC","L3_AF_DMSo_D_21_FITC","L3_AF_DMSO_D_22_FITC","L3_AF_100_ETP_23_FITC","L3_AF_100_ETP_24_FITC"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1"
"0","0","19","0","0","0","0","3","0","0","0","0","0","0","2","10"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"0","1","12","0","0","0","0","24","0","0","0","0","0","0","0","0"
"0","0","4","0","0","0","0","7","0","0","0","0","0","0","0","0"
"0","13","1","0","0","0","0","0","0","0","0","0","0","0","5","10"
"0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","8"
"0","0","3","0","0","0","0","0","0","0","0","0","4","0","7","6"
"0","0","8","0","0","0","0","19","12","0","0","0","0","0","0","0"
"0","12","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"0","5","0","0","0","0","0","6","0","0","0","0","0","0","2","0"
"0","21","0","0","0","0","0","5","7","0","0","0","0","0","12","6"
"0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","6"
"0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","13"
"0","0","11","0","0","0","0","7","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","14","0","0","0","0","0","4","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","6"
"0","0","20","0","0","0","0","9","0","0","0","0","0","0","13","37"
"0","0","0","0","0","0","0","1","7","0","0","0","0","0","18","0"
"0","0","0","0","0","0","0","0","8","0","0","0","0","0","6","0"
"0","19","0","0","0","0","0","12","0","0","0","0","0","0","0","8"
"0","0","0","0","0","0","0","15","5","0","0","0","0","0","15","0"
"0","4","0","0","0","0","0","2","12","0","0","0","0","0","13","0"
"0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","6"
"0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0"
"0","10","0","0","0","0","0","3","7","0","0","0","0","0","0","4"
"0","6","4","0","0","0","0","3","0","0","0","0","0","0","0","0"
"0","3","0","0","0","0","0","15","0","0","0","0","0","0","1","10"
"0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0"
"0","9","2","0","0","0","0","2","3","0","0","0","0","0","9","0"
"0","0","0","0","0","0","0","13","13","0","0","0","0","0","0","6"
"0","4","0","0","0","0","0","4","0","0","0","0","0","0","7","9"
"0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"0","6","0","0","0","0","0","4","10","0","0","0","0","0","13","0"
"0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","14"
"0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"0","0","3","0","0","0","0","21","8","0","0","0","0","0","8","2"
"0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","19","4","0","0","0","0","0","2","0"
"0","38","0","0","0","0","0","8","2","0","0","0","0","0","0","0"
"0","0","7","0","0","0","0","0","7","0","0","0","0","0","0","13"
"0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","15"
"0","0","0","0","0","0","0","13","5","0","0","0","0","0","0","6"
"0","0","6","0","0","0","0","0","14","0","0","0","0","0","1","0"
"0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","1"
"0","12","0","0","0","0","0","8","3","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","8"
"0","16","0","0","0","0","0","3","0",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","13",NA,"0","0","0","0","5","0"
"0","0","8","0","0","0","0","0","0",NA,"0","0","0","0","14","0"
"0","0","0","0","0","0","0","0","9",NA,"0","0","0","0","3","7"
"0","0","0","0","0","0","0","11","1",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","41","0",NA,"0","0","0","0","0","15"
"0","0","0","0","0","0","0","0","9",NA,"0","0","0","0","1","11"
"0","0","6","0","0","0","0","0","0",NA,"0","0","0","0","10","0"
"0","0","18","0","0","0","0","0","7",NA,"0","0","0","0","0","0"
"0","0","10","0","0","0","0","0","0",NA,"0","0","0","0","3","2"
"0","0","14","0","0","0","0","0","12",NA,"0","0","0","0","0","5"
"0","0","1","0","0","0","0","0","1",NA,"0","0","0","0","0","0"
"0","4","0","0","0","0","0","8","2",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","15","1",NA,"0","0","0","0","0","3"
"0","0","0","0","0","0","0","2","15",NA,"0","0","0","0","4","10"
"0","0","0","0","0","0","0","42","0",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","8",NA,"0","0","0","0","1","0"
"0","0","0","0","0","0","0","14","11",NA,"0","0","0","0","16","7"
"0","0","14","0","0","0","0","0","0",NA,"0","0","0","0","0","18"
"0","0","4","0","0","0","0","2","17",NA,"0","0","0","0","1","0"
"0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","5","1"
"0","0","16","0","0","0","0","0","6",NA,"0","0","0","0","0","13"
"0","9","7","0","0","0","0","16","13",NA,"0","0","0","0","0","8"
"0","0","5","0","0","0","0","5","0",NA,"0","0","0","0","0","7"
"0","4","16","0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","17","15",NA,"0","0","0","0","3","18"
"0","0","0","0","0","0","0","7","14",NA,"0","0","0","0","0","4"
"0","0","0","0","0","0","0","0","6",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1",NA,"0","0","0","0","0","0"
"0","0","0","0","0","0","0","1","7",NA,"0","0","0","0","0","6"
"0","3","0","0","0","0","0","18","5",NA,"0","0","0","0","0","9"
"0","0","0","0","0","0","0","17","7",NA,"0","0","0","0","20","22"
"0","0","0","0","0","0","0","0","10",NA,"0","0","0","0","12","0"
"0","0","15","0","0","0","0","9","0",NA,"0","0","0","0","3","0"
"0","0","0","0","0","0","0","2","0",NA,"0","0","0","0","3","0"
"0","0","0","0","0","0","0","17","2",NA,"0","0","0","0","0","12"
"0","0","0","0","0","0","0","0","6",NA,"0","0","0","0","0","0"
