"1_67","2_67","3_67","4_67","5_67","6_67"
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,0
0,2,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,0,0
0,1,0,0,1,0
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,6,0,0
0,0,4,0,2,0
1,0,0,0,0,0
0,0,0,2,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,2,0,0,0
2,1,0,0,1,0
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,1,0
0,0,1,1,2,0
0,1,0,0,2,0
0,0,0,1,1,0
0,0,0,0,1,0
0,0,1,0,0,1
0,0,1,1,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,2
4,0,0,0,0,0
0,0,2,0,0,0
0,0,0,0,2,0
0,0,0,0,0,4
0,0,4,0,4,0
0,0,0,4,0,2
0,0,1,0,0,0
0,0,0,0,0,0
1,0,0,2,0,1
0,0,0,0,0,0
0,1,0,0,3,1
0,0,0,0,3,2
0,0,0,2,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,2,0,0,0,1
0,3,0,3,0,0
0,0,0,0,1,1
0,1,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,2
3,0,0,0,2,1
1,0,1,1,2,0
0,0,2,0,0,0
1,0,1,0,0,0
0,1,0,0,0,0
7,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,0,2
0,0,0,3,0,0
0,1,5,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,2,0,0,2
0,0,0,0,0,0
1,1,2,0,0,0
4,0,1,0,0,0
0,0,0,0,0,0
0,0,2,0,0,0
0,0,0,0,0,0
0,0,2,0,0,1
0,0,4,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,3,0,0,0,0
6,1,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
1,3,0,0,0,0
1,2,0,0,0,0
1,0,0,0,0,0
0,0,3,0,0,0
3,1,0,0,0,0
0,1,1,0,0,0
0,0,1,0,NA,0
0,0,1,0,NA,0
0,0,0,0,NA,0
1,0,2,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
